alertmanager  | time=2026-04-11T20:10:09.865Z level=INFO source=cluster.go:682 msg="Waiting for gossip to settle..." component=cluster interval=2s
alertmanager  | time=2026-04-11T20:10:09.935Z level=INFO source=coordinator.go:111 msg="Loading configuration file" component=configuration file=/etc/alertmanager/alertmanager.yml
alertmanager  | time=2026-04-11T20:10:09.958Z level=ERROR source=coordinator.go:116 msg="Loading configuration file failed" component=configuration file=/etc/alertmanager/alertmanager.yml err="yaml: line 2: mapping values are not allowed in this context"
alertmanager  | time=2026-04-11T20:10:09.959Z level=INFO source=cluster.go:691 msg="gossip not settled but continuing anyway" component=cluster polls=0 elapsed=93.619459ms
alertmanager  | time=2026-04-11T20:11:10.611Z level=INFO source=main.go:190 msg="Starting Alertmanager" version="(version=0.30.1, branch=HEAD, revision=0ded3cbb049256f9ebe5c269020a6c883e17b78f)"
alertmanager  | time=2026-04-11T20:11:10.611Z level=INFO source=main.go:193 msg="Build context" build_context="(go=go1.25.5, platform=linux/amd64, user=root@4d7d922bb2be, date=20260112-23:18:41, tags=netgo)"
alertmanager  | time=2026-04-11T20:11:10.612Z level=INFO source=cluster.go:192 msg="setting advertise address explicitly" component=cluster addr=172.19.0.5 port=9094
alertmanager  | time=2026-04-11T20:11:10.625Z level=INFO source=cluster.go:682 msg="Waiting for gossip to settle..." component=cluster interval=2s
alertmanager  | time=2026-04-11T20:11:10.674Z level=INFO source=coordinator.go:111 msg="Loading configuration file" component=configuration file=/etc/alertmanager/alertmanager.yml
alertmanager  | time=2026-04-11T20:11:10.681Z level=ERROR source=coordinator.go:116 msg="Loading configuration file failed" component=configuration file=/etc/alertmanager/alertmanager.yml err="yaml: line 2: mapping values are not allowed in this context"
alertmanager  | time=2026-04-11T20:11:10.681Z level=INFO source=cluster.go:691 msg="gossip not settled but continuing anyway" component=cluster polls=0 elapsed=56.505834ms
alertmanager  | time=2026-04-11T20:12:11.250Z level=INFO source=main.go:190 msg="Starting Alertmanager" version="(version=0.30.1, branch=HEAD, revision=0ded3cbb049256f9ebe5c269020a6c883e17b78f)"
alertmanager  | time=2026-04-11T20:12:11.252Z level=INFO source=main.go:193 msg="Build context" build_context="(go=go1.25.5, platform=linux/amd64, user=root@4d7d922bb2be, date=20260112-23:18:41, tags=netgo)"
alertmanager  | time=2026-04-11T20:12:11.253Z level=INFO source=cluster.go:192 msg="setting advertise address explicitly" component=cluster addr=172.19.0.5 port=9094
alertmanager  | time=2026-04-11T20:12:11.265Z level=INFO source=cluster.go:682 msg="Waiting for gossip to settle..." component=cluster interval=2s
alertmanager  | time=2026-04-11T20:12:11.335Z level=INFO source=coordinator.go:111 msg="Loading configuration file" component=configuration file=/etc/alertmanager/alertmanager.yml
alertmanager  | time=2026-04-11T20:12:11.339Z level=ERROR source=coordinator.go:116 msg="Loading configuration file failed" component=configuration file=/etc/alertmanager/alertmanager.yml err="yaml: line 2: mapping values are not allowed in this context"
alertmanager  | time=2026-04-11T20:12:11.341Z level=INFO source=cluster.go:691 msg="gossip not settled but continuing anyway" component=cluster polls=0 elapsed=75.335634ms
alertmanager  | time=2026-04-11T20:13:12.078Z level=INFO source=main.go:190 msg="Starting Alertmanager" version="(version=0.30.1, branch=HEAD, revision=0ded3cbb049256f9ebe5c269020a6c883e17b78f)"
